Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags
First Love,Kari Jobe,E,G,68,4/4,devotion; repentance; first-love; renewal,slow; modern
Let The Light In,Kari Jobe,D,F,88,4/4,light; hope; freedom; presence-of-god,medium; modern
Your Nature,Kari Jobe,C,Eb,70,4/4,character-of-god; grace; trust; love-of-god,slow; modern
Forever & Amen,Kari Jobe,G,Bb,86,4/4,faithfulness-of-god; praise; trust; worship,medium; modern
Take It All Back,Kari Jobe,E,G,132,4/4,victory; spiritual-warfare; authority-in-jesus; freedom,fast; modern
Cover The Earth,Kari Jobe & Cody Carnes,D,F,92,4/4,glory-of-god; mission; kingdom; worship,medium; modern
Let It Be Glory,Kari Jobe,C,Eb,70,4/4,glory-of-god; surrender; worship; humility,slow; modern
Who Can Compare,Kari Jobe,G,Bb,94,4/4,greatness-of-god; praise; majesty; awe,medium; modern
The Cause Of Christ,Kari Jobe & Cody Carnes,D,F,84,4/4,mission; gospel; discipleship; surrender,medium; modern
Holy Spirit (Radio Version),Kari Jobe,A,C,74,4/4,holy-spirit; presence-of-god; prayer; worship,slow; modern
The Blessing (Elevation Worship / Kari Jobe / Cody Carnes),"Elevation Worship, Kari Jobe & Cody Carnes",A,C,74,4/4,blessing; presence-of-god; family; promise,slow; modern
Praise Before My Breakthrough,Bryan & Katie Torwalt (feat. Kari Jobe),E,G,128,4/4,praise; faith; perseverance; victory,fast; modern
I Will Exalt (Live),Kari Jobe,D,F,86,4/4,exaltation; praise; majesty; worship,medium; modern
Head to the Heart,United Pursuit,G,Bb,72,4/4,intimacy; presence-of-god; surrender; prayer,slow; modern
Your Love Changes Everything,United Pursuit,E,G,96,4/4,love-of-god; transformation; grace; testimony,medium; modern
Met by Love,United Pursuit,D,F,74,4/4,love-of-god; presence-of-god; healing; encounter,slow; modern
You're All Around Me,United Pursuit,C,Eb,68,4/4,presence-of-god; comfort; peace; trust,slow; modern
Let It Happen,United Pursuit,D,F,84,4/4,surrender; holy-spirit; revival; prayer,medium; modern
Seasons Change,United Pursuit,E,G,72,4/4,faithfulness-of-god; trust; hope; perseverance,slow; modern
Since Your Love,United Pursuit,G,Bb,98,4/4,grace; transformation; testimony; joy,medium; modern
Never Going Back,United Pursuit,A,C,104,4/4,repentance; freedom; discipleship; new-life,medium; modern
Hidden,United Pursuit,C,Eb,66,4/4,secret-place; presence-of-god; intimacy; trust,slow; modern
Love,United Pursuit,D,F,70,4/4,love-of-god; adoration; grace; worship,slow; modern
One,United Pursuit,G,Bb,92,4/4,unity; jesus; church; worship,medium; modern
Rest,United Pursuit,C,Eb,66,4/4,rest; peace; trust; presence-of-god,slow; modern
Home,United Pursuit,D,F,70,4/4,belonging; presence-of-god; identity; comfort,slow; modern
Garden,United Pursuit,E,G,68,4/4,surrender; prayer; trust; presence-of-god,slow; modern
Nothing Without You,United Pursuit,D,F,70,4/4,dependence; jesus; surrender; worship,slow; modern
Take a Moment,United Pursuit,C,Eb,66,4/4,stillness; presence-of-god; prayer; reflection,slow; modern
Running in Circles,United Pursuit,E,G,88,4/4,freedom; surrender; trust; transformation,medium; modern
Set a Fire,United Pursuit,E,G,84,4/4,revival; holy-spirit; desire-for-god; surrender,medium; modern
Not in a Hurry,United Pursuit,D,F,62,4/4,stillness; presence-of-god; rest; abiding,slow; modern
Lay It All Down,United Pursuit,D,F,70,4/4,surrender; repentance; trust; worship,slow; modern
Nothing I Hold Onto,United Pursuit,C,Eb,66,4/4,surrender; dependence; trust; grace,slow; modern
You Are My Joy,United Pursuit,G,Bb,96,4/4,joy; presence-of-god; delight; worship,medium; modern
Feeling Low,United Pursuit,D,F,68,4/4,lament; honesty; trust; hope,slow; modern
Need You More,United Pursuit,E,G,70,4/4,dependence; prayer; surrender; presence-of-god,slow; modern
Be Still,United Pursuit,C,Eb,64,4/4,stillness; peace; trust; presence-of-god,slow; modern
Oh How We Love You,United Pursuit,D,F,70,4/4,adoration; love-of-god; devotion; worship,slow; modern
What A Miracle,Elevation Worship,E,G,92,4/4,miracles; gods_power; praise; thanksgiving,miracles; gods_power; praise
Sure Been Good,Elevation Worship,D,F,98,4/4,gratitude; goodness_of_god; praise; testimony,gratitude; goodness_of_god; praise
Faithful Then / Faithful Now,Elevation Worship,G,Bb,78,4/4,faithfulness_of_god; testimony; praise; gods_provision,faithfulness_of_god; testimony; praise
God Is Not Against Me,Elevation Worship,G,A,100,4/4,victory; assurance; faith; gods_favor,victory; assurance; faith
Owe You Praise,Elevation Worship,A,C,94,4/4,praise; gods_worth; adoration; testimony,praise; gods_worth; adoration
When Wind Meets Fire,Elevation Worship,D,F,98,4/4,holy_spirit; revival; presence_of_god; transformation,holy_spirit; revival; presence_of_god
Another Stone,Elevation Worship,D,F,96,4/4,building; kingdom; faith; hope,building; kingdom; faith
Always On Time,Elevation Worship,G,Bb,92,4/4,faithfulness_of_god; trust; timeliness; dependence,faithfulness_of_god; trust; timeliness
Yahweh We You,Elevation Worship,D,F,72,4/4,worship; adoration; gods_glory; surrender,worship; adoration; gods_glory
Another One,Elevation Worship,D,F,94,4/4,gods_power; revival; worship; hope,gods_power; revival; worship
Ive Got Good News,Elevation Worship,C,Eb,130,4/4,gospel; good_news; testimony; praise,gospel; good_news; testimony
Youve Got A Name,Elevation Worship,E,G,90,4/4,jesus; identity; worship; exaltation,jesus; identity; worship
Jesus Be The Name,Elevation Worship,D,F,110,4/4,jesus; worship; exaltation; gods_glory,jesus; worship; exaltation
God Im Just Grateful,Elevation Worship,G,A,74,4/4,gratitude; worship; gods_faithfulness; thanksgiving,gratitude; worship; gods_faithfulness
Yahweh We Love You,Elevation Worship,A,C,68,4/4,adoration; worship; gods_glory; love,adoration; worship; gods_glory
CAN YOU IMAGINE?,Elevation Worship,C,Eb,106,4/4,gods_glory; praise; exaltation; adoration,gods_glory; praise; exaltation
Jehovah,Elevation Worship,D,F,98,4/4,gods_names; worship; praise; adoration,gods_names; worship; praise
No Body,Elevation Worship,E,G,96,4/4,faith; calling; identity; purpose,faith; calling; identity
Make A Way,Elevation Worship,D,F,102,4/4,hope; faith; gods_power; promise,hope; faith; gods_power
A Prophecy (Unto Us),Elevation Worship,C,Eb,98,4/4,christmas; messiah; prophecy; hope,christmas; messiah; prophecy
Breath of Heaven (All Of A Sudden),Elevation Worship,C,Eb,68,4/4,christmas; holy_spirit; mary; surrender,christmas; holy_spirit; mary
Welcome To Our World,Elevation Worship,E,G,72,4/4,christmas; jesus_birth; incarnation; hope,christmas; jesus_birth; incarnation
JOY!,Elevation Worship,G,A,120,4/4,joy; christmas; praise; worship,joy; christmas; praise
Here Comes Heaven,Elevation Worship,D,F,118,4/4,christmas; heaven; jesus_birth; praise,christmas; heaven; jesus_birth
"Infant Holy, Infant Lowly",Elevation Worship,Gb,B,60,4/4,christmas; incarnation; awe; adoration,christmas; incarnation; awe
LION,Elevation Worship,C,Eb,130,4/4,jesus; power; victory; worship,jesus; power; victory
This Is The Kingdom,Elevation Worship,D,F,100,4/4,kingdom_of_god; worship; victory; gods_reign,kingdom_of_god; worship; victory
Dancing,Elevation Worship,E,G,104,4/4,celebration; joy; victory; gods_love,celebration; joy; victory
Water Is Wild,Elevation Worship,D,F,96,4/4,holy_spirit; revival; living_water; transformation,holy_spirit; revival; living_water
Welcome Resurrection,Elevation Worship,G,A,110,4/4,resurrection; victory; life; jesus,resurrection; victory; life
Forever YHWH,Elevation Worship,D,F,96,4/4,gods_eternal_nature; worship; adoration; jesus,gods_eternal_nature; worship; adoration
No One,Elevation Worship,D,F,100,4/4,jesus; exclusivity; adoration; worship,jesus; exclusivity; adoration
You Really Are,Elevation Worship,G,A,72,4/4,gods_love; adoration; jesus; praise,gods_love; adoration; jesus
Why,Elevation Worship,C,Eb,90,4/4,faith; gods_sovereignty; trust; hope,faith; gods_sovereignty; trust
The One You Love,Elevation Worship,D,F,74,4/4,jesus; love; adoration; identity,jesus; love; adoration
Might Get Loud,Elevation Worship,E,G,126,4/4,praise; worship; gods_greatness; celebration,praise; worship; gods_greatness
Authority,Elevation Worship,D,F,92,4/4,gods_authority; power; victory; praise,gods_authority; power; victory
Available,Elevation Worship,C,E,75,4/4,surrender; availability; holy_spirit; faith,surrender; availability; holy_spirit
No One Beside,Elevation Worship,D,F,80,4/4,worship; adoration; gods_uniqueness; gods_glory,worship; adoration; gods_uniqueness
Have My Heart,Elevation Worship,D,F,92,4/4,surrender; gods_heart; love; obedience,surrender; gods_heart; love
What Would You Do,Elevation Worship,C,Eb,95,4/4,calling; faith; action; surrender,calling; faith; action
GOD SAID LIVE!,Elevation Worship,D,F,120,4/4,faith; gods_word; life; victory,faith; gods_word; life
Old Church Basement,Elevation Worship,A,C,90,4/4,simplicity; authenticity; worship; community,simplicity; authenticity; worship
Paradoxology,Elevation Worship,G,A,92,4/4,gods_mystery; faith; worship; wonder,gods_mystery; faith; worship
Hallelujah Here Below,Elevation Worship,E,G,75,4/4,worship; praise; gods_glory; adoration,worship; praise; gods_glory
Echo,Elevation Worship,C,Eb,120,4/4,praise; glory; gods_love; adoration,praise; glory; gods_love
With You,Elevation Worship,D,F,70,4/4,gods_presence; comfort; faith; trust,gods_presence; comfort; faith
Mighty God (Another Hallelujah),Elevation Worship,A,C,118,4/4,gods_power; praise; adoration; victory,gods_power; praise; adoration
Faithful,Elevation Worship,D,F,74,4/4,gods_faithfulness; trust; worship; surrender,gods_faithfulness; trust; worship
Worthy,Elevation Worship,G,A,118,4/4,worship; gods_worth; adoration; praise,worship; gods_worth; adoration
Hallelujah Here Below / There Is A Cloud,Elevation Worship,D,F,102,4/4,praise; gods_glory; heaven; exaltation,praise; gods_glory; heaven
Power,Elevation Worship,D,F,92,4/4,gods_power; authority; victory; exaltation,gods_power; authority; victory
Then He Rose,Elevation Worship,D,F,90,4/4,resurrection; victory; hope; praise,resurrection; victory; hope
Greater Than Your Love,Elevation Worship,E,G,88,4/4,gods_love; praise; adoration; faith,gods_love; praise; adoration
Still God,Elevation Worship,D,F,68,4/4,gods_sovereignty; peace; trust; faithfulness,gods_sovereignty; peace; trust
Better Word,Elevation Worship,D,F,82,4/4,grace; jesus_sacrifice; redemption; faith,grace; jesus_sacrifice; redemption
There Is A Cloud,Elevation Worship,D,F,80,4/4,gods_presence; anticipation; hope; promise,gods_presence; anticipation; hope
Fullness,Elevation Worship,C,Eb,85,4/4,holy_spirit; gods_presence; spiritual_growth; faith,holy_spirit; gods_presence; spiritual_growth
He Is Lord,Elevation Worship,E,G,90,4/4,lordship_of_christ; worship; adoration; victory,lordship_of_christ; worship; adoration
Yours (Glory and Praise),Elevation Worship,D,F,74,4/4,worship; adoration; gods_glory; surrender,worship; adoration; gods_glory
Uncontainable Love,Elevation Worship,E,G,105,4/4,gods_love; praise; grace; joy,gods_love; praise; grace
Forever I Run,Elevation Worship,D,F,80,4/4,commitment; gods_love; perseverance; faithfulness,commitment; gods_love; perseverance
None,Elevation Worship,C,Eb,70,4/4,providence; peace; trust; gods_sovereignty,providence; peace; trust
Grateful,Elevation Worship,A,C,93,4/4,gratitude; testimony; faithfulness; praise,gratitude; testimony; faithfulness
Mighty Cross,Elevation Worship,G,Bb,73,4/4,the_cross; atonement; redemption; freedom,the_cross; atonement; redemption
Oh Sing,Elevation Worship,D,F,121,4/4,praise; joy; spiritual_warfare; adoration,praise; joy; spiritual_warfare
Here In The Presence,Elevation Worship,B,D,70,4/4,presence_of_god; surrender; peace; prayer,presence_of_god; surrender; peace
The Glory Is Yours,Elevation Worship,A,C,78,4/4,glory_of_god; adoration; gods_worthiness; praise,glory_of_god; adoration; gods_worthiness
I Will Look Up,Elevation Worship,A,C,78,4/4,anxiety; peace; surrender; trust,anxiety; peace; surrender
Grace So Glorious,Elevation Worship,Db,E,65,4/4,grace; the_cross; forgiveness; worship,grace; the_cross; forgiveness
The Love Of Jesus,Elevation Worship,G,Bb,69,4/4,gospel; atonement; holiness; worthy_lamb,gospel; atonement; holiness
The Last Word,Elevation Worship,C,F,117,4/4,victory; resurrection; authority_of_jesus; hope,victory; resurrection; authority_of_jesus
Mighty Warrior,Elevation Worship,C,F,81,4/4,spiritual_warfare; gods_strength; trust; deliverance,spiritual_warfare; gods_strength; trust
I Will Sing,Elevation Worship,F,Bb,118,4/4,praise; faithfulness; joy; confidence_in_god,praise; faithfulness; joy
Everlasting Father,Elevation Worship,Eb,Ab,75,4/4,fatherhood_of_god; trust; comfort; gods_faithfulness,fatherhood_of_god; trust; comfort
Great and Mighty King,Elevation Worship,D,G,73,4/4,kingship_of_jesus; adoration; worship; gods_greatness,kingship_of_jesus; adoration; worship
Unto Your Name,Elevation Worship,Gb,B,74,4/4,gods_glory; worship; honor; surrender,gods_glory; worship; honor
Raised to Life,Elevation Worship,C,F,78,4/4,resurrection; new_life; gospel; freedom,resurrection; new_life; gospel
Already Won,Elevation Worship,F,Bb,128,4/4,victory; faith; authority_of_jesus; perseverance,victory; faith; authority_of_jesus
Unstoppable God,Elevation Worship,B,E,132,4/4,power_of_god; victory; faith; praise,power_of_god; victory; faith
Jesus I Come,Elevation Worship,D,F,70,4/4,invitation; repentance; grace; surrender,invitation; repentance; grace
Ever Glorious,Elevation Worship,C,Eb,68,4/4,jesus_exalted; worthy; adoration; holiness,jesus_exalted; worthy; adoration
Jesus Forever,Elevation Worship,B,D,82,4/4,jesus_exalted; steadfast_hope; faithfulness; praise,jesus_exalted; steadfast_hope; faithfulness
Your Promises,Elevation Worship,C,Eb,80,4/4,promises_of_god; faith; perseverance; trust,promises_of_god; faith; perseverance
The King Is Among Us,Elevation Worship,C,Eb,78,4/4,revival; presence_of_god; kingdom; faith,revival; presence_of_god; kingdom
The First Light,Elevation Worship,C,Eb,130,4/4,incarnation; hope; light; christmas,incarnation; hope; light
Great Things (Worth It All),Elevation Worship,D,F,90,4/4,testimony; faithfulness; perseverance; gratitude,testimony; faithfulness; perseverance
Standing,Elevation Worship,A,C,110,4/4,faith; promises_of_god; steadfastness; hope,faith; promises_of_god; steadfastness
Let Us Adore,Elevation Worship,B,D,76,4/4,adoration; gospel; mercy; invitation,adoration; gospel; mercy
Fortress,Elevation Worship,D,F,75,4/4,trust; fear_and_anxiety; protection; faithfulness,trust; fear_and_anxiety; protection
Look How He Lifted Me,Elevation Worship,G,C,114,4/4,testimony; grace; deliverance; praise,testimony; grace; deliverance
For the Honor,Elevation Worship,Eb,Ab,72,4/4,glory_of_god; christcentered_worship; surrender; cross,glory_of_god; christcentered_worship; surrender
Exalted One,Elevation Worship,A,D,86,4/4,exaltation_of_jesus; worship; holiness; lordship,exaltation_of_jesus; worship; holiness
The Lord Is My Rock,Elevation Worship,B,E,72,4/4,gods_character; trust; strength; refuge,gods_character; trust; strength
God Be Praised,Elevation Worship,D,G,73,4/4,praise; adoration; gods_worthiness; thanksgiving,praise; adoration; gods_worthiness
The Highest,Elevation Worship,Bb,Eb,60,4/4,exaltation; awe; holiness; adoration,exaltation; awe; holiness
Victorious,Elevation Worship,B,E,138,4/4,victory_in_christ; resurrection; faith; spiritual_warfare,victory_in_christ; resurrection; faith
Give Me Faith,Elevation Worship,A,D,72,4/4,faith; prayer; dependence; trust,faith; prayer; dependence
All Things New,Elevation Worship,Db,Gb,68,4/4,hope; renewal; future_glory; faith_trust,hope; renewal; future_glory
You Reign Alone,Elevation Worship,F#,B,74,4/4,sovereignty; kingship_of_jesus; worship; awe,sovereignty; kingship_of_jesus; worship
Give My Life To You,Elevation Worship,C,F,120,4/4,surrender; calling; discipleship; response,surrender; calling; discipleship
The Gospel,Elevation Worship,Db,Gb,80,4/4,gospel; grace; salvation; jesus,gospel; grace; salvation
Our King Has Come,Elevation Worship,C,F,60,4/4,incarnation; advent; kingship_of_jesus; hope,incarnation; advent; kingship_of_jesus
We Are Alive,Elevation Worship,G,C,80,4/4,worship; church; new_life,worship; church; new_life
Undivided,Elevation Worship,C,F,78,4/4,unity; surrender; love,unity; surrender; love
All Around The World,Elevation Worship,C,F,77,4/4,mission; praise; nations,mission; praise; nations
Walk In Love,Elevation Worship,C,F,120,4/4,discipleship; love; obedience,discipleship; love; obedience
Sing Forever,Elevation Worship,A,D,120,4/4,praise; joy; forever,praise; joy; forever
We Have Overcome,Elevation Worship,D,G,140,4/4,victory; cross; hope,victory; cross; hope
Sun Stand Still,Elevation Worship,B,E,135,4/4,faith; miracles; gods_power,faith; miracles; gods_power
This City Is Yours,Elevation Worship,Ab,Db,124,4/4,mission; prayer; city; kingdom,mission; prayer; city
Kingdom Come,Elevation Worship,A,D,75,4/4,kingdom_of_god; prayer; church,kingdom_of_god; prayer; church
Awaken,Elevation Worship,B,E,143,4/4,awakening; praise; spiritual_renewal,awakening; praise; spiritual_renewal
Your Cross,Elevation Worship,D,G,125,4/4,cross; redemption; grace,cross; redemption; grace
No One (feat. Chandler Moore),Elevation Worship,D,G,136,4/4,worship; gods_uniqueness; holiness; adoration,worship; gods_uniqueness; holiness
Fill This Place,Red Rocks Worship,E,G,133,4/4,presence; holy_spirit; prayer; renewal,modern; prayer; invitation; presence
One Great Passion,Red Rocks Worship,C,D,79,4/4,devotion; surrender; first_love; worship,modern; consecration; response
Remedy,Red Rocks Worship,F,G,142.1,4/4,healing; restoration; comfort; faithfulness,modern; healing; encouragement
Into the Light,Red Rocks Worship,G,A,169,4/4,repentance; freedom; light; grace,modern; upbeat; gospel
Echo the Son,Red Rocks Worship,E,F#,89,4/4,witness; mission; discipleship; identity,modern; anthem; send
Love Changes Everything,Red Rocks Worship,E,F#,88,4/4,grace; transformation; cross; hope,modern; gospel; encouragement
More,Red Rocks Worship,B,C#,73,4/4,hunger; abiding; presence; prayer,modern; response; holy_spirit
As We Seek (Hallelujah),Red Rocks Worship,E,F#,78.5,4/4,seeking; adoration; presence; prayer,modern; reflective; hallelujah
Forever Our King,Red Rocks Worship,A,B,70,4/4,kingship; authority; praise; hope,modern; anthem; king_jesus
Heaven Is Here,Red Rocks Worship,C,D,73,4/4,presence; holy_spirit; renewal; hope,modern; encouragement; presence; prayer
Nobody Like You,Red Rocks Worship,Ab,Bb,60,4/4,awe; praise; holiness; gods_character,modern; reverent; adoration
Always and Only,Red Rocks Worship,D,E,71,4/4,abiding; faithfulness; surrender; devotion,modern; response; steady
"Right Here, Right Now",Red Rocks Worship,B,C#,72,4/4,presence; peace; comfort; trust,modern; pastoral; prayer
How Beautiful Your Grace,Red Rocks Worship,D,E,73,4/4,grace; gospel; freedom; assurance,modern; grace; encouragement
Not Afraid,Red Rocks Worship,B,C#,79,4/4,courage; trust; peace; faithfulness,modern; anthem; encouragement
Come Taste and See,Red Rocks Worship,C,D,77,4/4,invitation; grace; goodness_of_god; communion,modern; communion; prayer
Overflow,Red Rocks Worship,B,C#,65,4/4,holy_spirit; fruit; formation; commissioning,modern; prayer; discipleship
I Am Home,Red Rocks Worship,Eb,F,100,4/4,belonging; adoption; identity; fathers_love,modern; identity; encouragement
By the Cross,Red Rocks Worship,Eb,F,75,4/4,cross; gospel; redemption; grace,modern; communion; gospel
Breakthrough,Red Rocks Worship,F,G,95,4/4,faith; miracles; perseverance; prayer,modern; anthem; faith; encouragement
Come Alive,Red Rocks Worship,A,B,72,6/8,renewal; resurrection; hope; holy_spirit,modern; prayer; renewal; 6-8
How Great Your Love Is,Red Rocks Worship,G,A,84,6/8,love_of_god; grace; assurance; gospel,modern; reflective; grace; 6-8
No Other Love,Red Rocks Worship,D,E,73.5,4/4,devotion; abiding; surrender; love_of_god,modern; response; consecration
Holy,Red Rocks Worship,A,B,73,4/4,holiness; awe; adoration; praise,modern; reverent; holy
Be Still,Red Rocks Worship,A,B,74,6/8,peace; trust; rest; presence,modern; pastoral; peace; 6-8
Underneath My Feet,Red Rocks Worship,D,E,79,4/4,victory; spiritual_warfare; hope; faith,modern; upbeat; victory
You Will Be My Song,Red Rocks Worship,D,E,75,4/4,praise; devotion; perseverance; joy,modern; response; declaration
My Deliverer,Red Rocks Worship,Bb,C,120,4/4,deliverance; trust; victory; hope,modern; anthem; faith
Say The Word,Red Rocks Worship,D,E,75,4/4,faith; authority_of_god; trust; prayer,modern; faith; encouragement; prayer
God Of Grace,Red Rocks Worship,B,Db,71.5,4/4,grace; gospel; assurance; mercy,modern; grace; gospel; communion
I Just Really Love You,Red Rocks Worship,D,E,76.5,4/4,devotion; love_for_jesus; abiding; adoration,modern; response; prayer; intimate
With All Of Heaven,Red Rocks Worship,B,Db,72.5,2/4,holiness; awe; adoration; heavenly_worship,modern; reverent; holy; praise
Ascend,Red Rocks Worship,B,Db,96,6/8,surrender; holiness; presence; consecration,modern; prayer; response; 6-8
Miracle In Me,Red Rocks Worship,D,E,79,4/4,transformation; new_life; grace; formation,modern; testimony; discipleship; encouragement
No Name,Red Rocks Worship,Db,Eb,75,4/4,jesus; worship; surrender; freedom,modern; declaration; repentance; anthem
Can't Get Enough,Red Rocks Worship,Db,Eb,74,4/4,devotion; joy; desire_for_god; praise,modern; upbeat; response; joy
There's No Way,Red Rocks Worship,C,D,76,4/4,hope; faith; gods_power; trust,modern; encouragement; faith; anthem
"Right Here, Right Now",Red Rocks Worship,B,C#,72,4/4,presence; peace; comfort; trust,modern; pastoral; prayer
How Beautiful Your Grace,Red Rocks Worship,D,E,73,4/4,grace; gospel; freedom; assurance,modern; grace; encouragement
Not Afraid,Red Rocks Worship,B,C#,79,4/4,courage; trust; peace; faithfulness,modern; anthem; encouragement
Come Taste and See,Red Rocks Worship,C,D,77,4/4,invitation; grace; goodnessofgod; communion,modern; communion; prayer
By the Cross,Red Rocks Worship,Eb,F,75,4/4,cross; gospel; redemption; grace,modern; communion; gospel
Echo the Son,Red Rocks Worship,E,F#,89,4/4,witness; mission; discipleship; identity,modern; anthem; send
As We Seek (Hallelujah),Red Rocks Worship,A,B,70,4/4,seeking; adoration; presence; prayer,modern; reflective; hallelujah
Into the Light,Red Rocks Worship,G,A,169,4/4,repentance; freedom; light; grace,modern; upbeat; gospel
Love Changes Everything,Red Rocks Worship,E,F#,88,4/4,grace; transformation; cross; hope,modern; gospel; encouragement
Believe For It,CeCe Winans,E,G,79,4/4,Faith; Prayer; Miracles; Expectation,Modern; Contemporary Gospel; Prayer; Breakthrough; CCLI Top
Man of Your Word,Maverick City Music,B,D,70,4/4,Faithfulness; Covenant; Trust; Perseverance,Modern; Maverick City; Slow; Reflective; Prayer; CCLI Top
Break Every Chain,Jesus Culture,A,C,68,4/4,Freedom; Deliverance; Holy Spirit; Authority,Modern; Spontaneous; Altar Call; Deliverance; Prayer; Jesus Culture
Fear Is a Liar,Zach Williams,F,Ab,72,4/4,Fear; Identity; Freedom; Spiritual Warfare; Grace,Modern; CCM; Spiritual Warfare; Identity; Encouragement
Rescue Story,Zach Williams,C,Eb,73,4/4,Salvation; Testimony; Grace; Redemption; God's Pursuit,Modern; CCM; Testimony; Salvation; Evangelism; Baptism
There Was Jesus,Zach Williams,Ab,B,77,4/4,Faithfulness; God's Presence; Testimony; Immanuel; Remembrance,Modern; CCM; Country Gospel; Testimony; Thanksgiving; Encouragement
Who Am I,Casting Crowns,Bb,Db,68,4/4,Humility; Grace; Wonder; Identity; God's Love,Modern; Classic; Reflective; Communion; CCLI Top; Casting Crowns
Voice of Truth,Casting Crowns,G,Bb,76,4/4,Faith; Courage; Trust; Identity; Spiritual Warfare,Modern; Classic; Casting Crowns; Encouragement; Faith; CCLI Top
Scars in Heaven,Casting Crowns,G,Bb,64,4/4,Grief; Hope; Resurrection; Heaven; Suffering,Modern; Lament; Grief; Hope; Easter; Memorial; Casting Crowns
I Can Only Imagine,MercyMe,E,G,80,4/4,Heaven; Hope; Eternity; Resurrection; God's Presence,Modern; Classic; MercyMe; Funeral; Easter; Hope; CCLI Top
East to West,Casting Crowns,Bb,Db,72,4/4,Forgiveness; Grace; Shame; Identity; Repentance,Modern; Classic; Casting Crowns; Reflective; Grace; Shame; CCLI Top
You Say,Lauren Daigle,Bb,D,58,4/4,Identity; Worth; Grace; God's Love; Shame,Modern; Crossover; Lauren Daigle; Identity; Reflective; CCLI Top
How Can It Be,Lauren Daigle,Bb,D,68,4/4,Grace; Wonder; Salvation; Forgiveness; God's Love,Modern; Lauren Daigle; Grace; Communion; Easter; Wonder
Known,Tauren Wells,G,Bb,80,4/4,Identity; Intimacy; God's Love; Grace; Security,Modern; Tauren Wells; Identity; Pop Worship; Encouragement
Hills and Valleys,Tauren Wells,Ab,C,76,4/4,Sovereignty; Faithfulness; Suffering; Trust; Perseverance,Modern; Tauren Wells; Encouragement; Suffering; Trust; Anthem
Citizen of Heaven,Tauren Wells,Ab,C,94,4/4,Identity; Kingdom of God; Heaven; Belonging; Calling,Modern; Tauren Wells; Upbeat; Identity; Kingdom; Opener
Only Jesus,Casting Crowns,G,Bb,74,4/4,Surrender; Legacy; Centrality of Christ; Simplicity; Calling,Modern; Casting Crowns; Reflective; Surrender; New Year; Stewardship
Thrive,Casting Crowns,G,Bb,115,4/4,Abundant Life; Growth; Discipleship; Calling; Joy,Modern; Casting Crowns; Upbeat; Vision Sunday; Discipleship; Opener
Word of God Speak,MercyMe,D,F,60,4/4,Scripture; Listening; Surrender; Presence; Prayer,Modern; Classic; MercyMe; Reflective; Prayer; Pre-Sermon; CCLI Top
Rooftops,Jesus Culture,E,G,100,4/4,Declaration; Testimony; Boldness; Evangelism; Praise,Modern; Jesus Culture; Upbeat; Opener; Youth; Testimony
Freedom,Jesus Culture,G,Bb,124,4/4,Freedom; Holy Spirit; Deliverance; Breakthrough; Liberation,Modern; Jesus Culture; Upbeat; Holy Spirit; Pentecost; Breakthrough
Tears of the Saints,Leeland,G,Bb,84,4/4,Intercession; Compassion; Missions; Lament; Evangelism,Modern; Leeland; Intercession; Missions; Lament; Prayer
Sparrows,Cory Asbury,Ab,C,70,4/4,Trust; Anxiety; God's Care; Providence; Rest,Modern; Cory Asbury; Acoustic; Reflective; Anxiety; Trust; Slow
Less Like Me,Zach Williams,Bb,Db,85,4/4,Sanctification; Humility; Character Formation; Discipleship; Growth,Modern; CCM; Zach Williams; Sanctification; Humility; Discipleship
Look Up Child,Lauren Daigle,Bb,D,91,4/4,Trust; God's Nearness; Perspective; Encouragement; Identity,Modern; Lauren Daigle; Crossover; Encouragement; Soulful; Trust
Greater,MercyMe,D,F,116,4/4,Identity; Shame; Spiritual Warfare; Grace; Redemption,Modern; MercyMe; Identity; Grace; Shame; Campfire; CCLI Top
Unstoppable Love,Jesus Culture,F,Ab,74,4/4,God's Love; Pursuit; Grace; Father Heart of God; Redemption,Modern; Jesus Culture; Reflective; Grace; Father Heart; Healing
Good God Almighty,Crowder,G,Bb,107,4/4,Testimony; Grace; God's Goodness; Transformation; Praise,Modern; Crowder; Upbeat; Anthem; Testimony; Opener; CCLI Top
Running to You,Elevation Worship,B,D,76,4/4,Surrender; Pursuit; Prayer; Commitment; Trust,Modern; Elevation Worship; Maverick City; Reflective; Surrender; Prayer
Hope of the World,Hillsong Worship,E,G,80,4/4,Hope; Salvation; Missions; Jesus; Redemption,Modern; Hillsong Worship; Easter; Missions; Anthem; Global Church
Take Courage,Housefires,D,F,58,4/4,Waiting; Patience; Trust; Sovereignty; Encouragement,Modern; Housefires; Kristene DiMarco; Slow; Waiting; Encouragement; Pastoral
God's Not Done with You,Tauren Wells,G,Bb,78,4/4,Hope; God's Faithfulness; Encouragement; Perseverance; Sanctification,Modern; Tauren Wells; Encouragement; Hope; New Year; Perseverance
Dancing on the Waves,We The Kingdom,E,G,97,6/8,Faith; Trust; Surrender; God's Invitation; Fear vs. Faith,Modern; We The Kingdom; Medium; Youth; Faith; CCLI Top
Child of Love,We The Kingdom,G,Bb,100,4/4,Identity; Adoption; God's Love; Belonging; Grace,Modern; We The Kingdom; Identity; Opener; Grace; Adoption
