Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags,Scripture References,Theology & Meaning,Worship Leadership Tips,Arrangement Tips
The King Is In The Room,Phil Wickham,D,F,72,4/4,presence_of_god; kingship_of_jesus; adoration; awe,modern; slow,Matthew 18:20; Psalm 24:7-10; Revelation 1:17-18,"The song emphasizes the reality of Jesus' reign and presence among His people. It forms a worship posture of holy attention, treating corporate worship as an encounter with the living King rather than a musical event.",Lead it slowly and let the room settle. Keep the dynamics restrained so the congregation can sing. This works well as a set centerpiece or as a transition into prayer or ministry time.,"A reverent worship song that centers the room on the nearness and authority of Jesus, inviting awe and adoration in His presence. Use the practical leadership notes above for arrangement guidance."
Song Of The Saints,People & Songs,G,Bb,88,4/4,worship; testimony; perseverance; praise,modern,Psalm 145:4; Hebrews 12:1-2; Revelation 7:9-10,"The song frames worship as the steady, faithful response of God's people across generations. It forms perseverance and reminds believers that praise is part of the Christian witness in every season.","Teach the chorus clearly and keep the arrangement simple. This works well as a unifying mid-set declaration. Encourage the congregation to sing like a testimony, not like a performance.","A worship song that celebrates the enduring praise of God's people, inviting the church to join the ongoing song of faith and testimony. Use the practical leadership notes above for arrangement guidance."
Victory In Jesus (Christ Won The Victory),Modern Arrangement,D,F,104,4/4,victory; gospel; salvation; praise,modern,1 Corinthians 15:54-57; Colossians 2:13-15; Romans 8:1-2,"The song emphasizes the gospel victory of Jesus through the cross and resurrection. It forms confident praise rooted in Christ's finished work, echoing the church's historic confession of salvation in Jesus alone.","Keep it bright and tight. If your church knows the classic, use that familiarity to drive singing. If not, teach the hook and keep repetition short so it stays joyful, not exhausting.","A modern congregational take on the classic theme of victory in Jesus, celebrating salvation and Christ's triumph over sin and death. Use the practical leadership notes above for arrangement guidance."
Cry Out,Commonly Performed,G,Bb,124,4/4,praise; joy; call_to_worship; freedom,modern; upbeat,Psalm 100:1-2; Psalm 47:1; Psalm 98:4,The song reflects biblical commands to shout and sing to the Lord. It forms embodied praise and helps the church move from passivity into active worship rooted in God's worthiness.,Use as an opener or to raise energy after a slower section. Keep the groove solid and the lyrics simple. Avoid over-talking so the momentum stays worshipful.,An energetic call-to-worship song that invites the church to lift their voice with bold praise and joy-filled celebration. Use the practical leadership notes above for arrangement guidance.
Come To Jesus,Chris Rice,C,Eb,70,4/4,invitation; grace; salvation; rest,modern; slow,Matthew 11:28-30; Isaiah 55:1-3; John 6:37,"The song embodies the gospel invitation and the compassion of Christ. It forms a pastoral response that welcomes repentance and trust, pointing to Jesus as the One who receives the hurting and restores the soul.","Lead this with simplicity and restraint. It works well during altar ministry, prayer services, or gospel invitations. Keep dynamics gentle and let the lyric carry the moment.","A tender invitational song that calls the weary and broken to come to Jesus for mercy, rest, and healing. Use the practical leadership notes above for arrangement guidance."
He Who Is To Come,Passion,G,Bb,72,4/4,second_coming; hope; kingdom; adoration,modern; slow,Revelation 1:8; Revelation 22:20; Titus 2:13,"The song reflects the church's longing for Christ's coming kingdom. It forms an eschatological hope that strengthens faith, reminding believers that Jesus is coming again and will make all things right.",Keep it reverent and steady. This works best near the end of a set as a hope-filled declaration. Leave space for prayer and avoid turning it into a long musical swell.,"A worship song that lifts the church's hope toward Jesus' return, celebrating His reign and the promised restoration to come. Use the practical leadership notes above for arrangement guidance."
Somebody Prayed,Crowder,G,Bb,92,4/4,prayer; testimony; faith; providence,modern,James 5:16; Luke 18:1; Colossians 4:2,"The song highlights God's providence and the spiritual legacy of intercession. It forms faith for prayer by linking present grace to past prayers, encouraging perseverance in asking God to move.",Introduce it with a brief encouragement about prayer and legacy. Keep the groove light and conversational. This works well after testimony moments or as a bridge into corporate prayer.,"A testimony-driven song celebrating how God moves through prayer, reminding the church that their prayers matter across generations. Use the practical leadership notes above for arrangement guidance."
Holy Forever (Christmas),Chris Tomlin,D,F,70,4/4,christmas; holiness; worthy; adoration,modern; slow,Luke 2:10-14; Isaiah 6:1-3; Revelation 4:8,"The song holds together incarnation wonder and the eternal holiness of God. It forms Christmas worship that is not sentimental only, but anchored in the holiness and worthiness of the Lord revealed in Christ.","Use it in Advent as a reverent centerpiece. Consider reading Luke 2 before singing to frame the incarnation. Keep dynamics patient so the room can worship, not just listen.","A Christmas-focused framing of ""Holy Forever"" that connects the incarnation to heaven's ongoing worship, inviting the church to adore the holy Christ. Use the practical leadership notes above for arrangement guidance."
O Holy Night / Holy Forever,Medley,D,F,68,4/4,christmas; incarnation; holiness; adoration,modern; slow,Luke 2:10-14; John 1:14; Revelation 5:11-13,"This pairing connects the incarnation story to the worship of heaven, forming a Christ-centered Christmas moment that lifts the church from nostalgia into adoration of the holy Lord.","Keep the transition smooth by staying in the same tonal center or a closely related key. Let ""O Holy Night"" remain reverent, then allow ""Holy Forever"" to become the corporate response.","A worship medley blending the awe of ""O Holy Night"" with the holiness declaration of ""Holy Forever,"" moving from wonder to worshipful exaltation. Use the practical leadership notes above for arrangement guidance."
The Joy / Joy To The World,Medley,D,F,120,4/4,christmas; joy; praise; celebration,modern; upbeat,Luke 2:10-11; Psalm 98:4-9; Isaiah 9:6-7,"The medley celebrates the good news of Jesus' coming and the joy that flows from salvation. It forms worship as celebration rooted in the gospel, not merely seasonal cheer.",Keep it upbeat and singable. Make the carol melody prominent so everyone can join immediately. Use tight transitions and avoid dragging the ending so the joy stays fresh.,"A joyful Christmas medley that connects contemporary celebration with the classic carol, inviting the church into bright, gospel-centered joy. Use the practical leadership notes above for arrangement guidance."
O Come All Ye Faithful (His Name Shall Be),Modern Arrangement,D,F,84,4/4,christmas; incarnation; adoration; jesus,modern,Luke 2:10-14; Matthew 2:10-11; Philippians 2:9-11,The carol centers on the incarnation and the church's response of worship and adoration. Modern refrains that highlight Jesus' name reinforce biblical confession that Christ is Lord and worthy of praise.,"Keep the carol melody clear and familiar, then let any modern refrain act as a response. If you modulate, do it sparingly. Invite the room to sing the chorus strong on the first pass.",A modern arrangement of the classic carol that emphasizes adoration and highlights the identity of Jesus as Lord and King. Use the practical leadership notes above for arrangement guidance.
Angels (Glory To God),Chris Tomlin,D,F,108,4/4,christmas; angels; good_news; praise,modern,Luke 2:10-14; Isaiah 9:6-7; John 1:14,"The song draws directly from the nativity narrative, emphasizing the gospel announcement of peace and the glory given to God. It forms Christmas worship anchored in proclamation and praise.",Keep it joyful and bright. This works well early in a Christmas set. Make sure the chorus is rhythmically clear so the congregation can lock in quickly.,"A Christmas worship song celebrating the angelic announcement of Jesus' birth, inviting the church to join in the glory-filled praise. Use the practical leadership notes above for arrangement guidance."
Joy To The World (Joyful Joyful),Medley,D,F,120,4/4,christmas; joy; praise; celebration,modern; upbeat,Psalm 98:4-9; Luke 2:10-11; Philippians 2:10-11,The medley centers on Jesus as King and the fitting response of joy and praise. It reinforces Christian celebration as an overflow of salvation and the reign of Christ.,Keep the tempo lively and transitions smooth. Make the familiar melodies lead the room. Consider using this as a closer in Christmas services to send the church out rejoicing.,"A celebratory medley combining classic joy-filled hymns and carols, inviting the church to sing with bright confidence and gratitude. Use the practical leadership notes above for arrangement guidance."
What He's Done,Passion,D,F,126,4/4,gospel; cross; resurrection; praise,modern; upbeat,1 Corinthians 15:3-4; Colossians 2:13-15; Romans 5:8,"The song emphasizes the saving work of Christ and the believer's response of praise. It forms worship as proclamation, putting the gospel on the lips of the church in a clear, memorable way.",Great as an opener or post-sermon celebration. Keep it tight and driving. Emphasize congregational participation on the chorus and avoid stretching the ending too long.,"A gospel-centered celebration of Jesus' finished work, declaring the cross and resurrection with joyful confidence and congregational energy. Use the practical leadership notes above for arrangement guidance."
He Is,Crowder,G,Bb,92,4/4,jesus; worthy; adoration; confession,modern,Colossians 1:15-20; Philippians 2:9-11; Revelation 1:17-18,"The song centers on the person of Christ, forming worship as confession of Jesus' identity and worthiness. It aligns with biblical worship that declares truth about God rather than merely describing our experience.","Keep it steady and let the declarations land. This works well mid-set to recenter on Jesus. If you add a tag, keep it focused on Christ's identity and avoid drifting into generic phrases.","A worship song that names who Jesus is with simple, declarative language, inviting the church into confident adoration and confession. Use the practical leadership notes above for arrangement guidance."
I'm Not Alone,Kari Jobe,G,Bb,72,4/4,presence_of_god; comfort; peace; trust,modern; slow,Isaiah 41:10; Deuteronomy 31:6; Psalm 23:4,"The song forms assurance rooted in God's nearness, echoing the biblical promise that God is present with His people. It invites trust and peace that are anchored in God's character and covenant love.","Lead it gently and prayerfully. This is powerful in ministry moments, especially for anxiety, grief, and loneliness. Keep dynamics soft so the congregation can sing, not just listen.","A tender worship song that comforts the weary with the promise of God's presence, declaring that He is with us and we are not alone. Use the practical leadership notes above for arrangement guidance."
Honey In The Rock,Brooke Ligertwood,A,C,80,4/4,provision; trust; faithfulness; testimony,modern,Exodus 16:4; Deuteronomy 8:15-16; Matthew 6:31-33,"The song draws on biblical imagery of God providing in the wilderness, forming trust in God's faithfulness and care. It frames provision as covenant faithfulness rather than prosperity assumptions.",Keep it warm and steady. This works well when your church needs language for trusting God in uncertainty. Let the chorus land clearly and avoid cluttering the rhythm with too many fills.,"A testimony song celebrating God's surprising provision, declaring that God is faithful to provide what His people need. Use the practical leadership notes above for arrangement guidance."
Same Jesus,Elevation Worship,A,C,74,4/4,faithfulness; jesus; hope; trust,modern; slow,Hebrews 13:8; Malachi 3:6; Matthew 28:20,"The song emphasizes the unchanging nature of Christ and His faithful presence. It forms trust in Jesus' character and encourages worship rooted in who He is, not the volatility of circumstances.",Lead it with a pastoral tone and clear phrasing. This works well in seasons of anxiety or transition. Keep it simple and let the congregation sing the reassurance together.,"A worship song that reassures believers that Jesus has not changed, forming confidence that His compassion and power remain the same today. Use the practical leadership notes above for arrangement guidance."
Christ Our Hope In Life And Death,Getty Music,D,F,88,4/4,hope; gospel; assurance; perseverance,modern,Romans 14:8; 1 Corinthians 15:20-22; Hebrews 2:14-15,"The song is rich with gospel assurance, emphasizing God's sovereignty, Christ's saving work, and the believer's hope in resurrection. It forms resilient faith and a steady theology of comfort grounded in Jesus.","Teach the chorus as the congregational anchor. This works well in funerals, memorial services, and formation-centered sets. Keep the tempo stable and let the lyric carry weight.","A modern hymn that anchors believers in Christ as their sure hope in every season, from life's joys to death's fears and beyond. Use the practical leadership notes above for arrangement guidance."
All Glory Be To Christ,Kings Kaleidoscope,C,Eb,96,4/4,doxology; grace; jesus; sovereignty,modern,Romans 11:36; 1 Corinthians 1:30-31; Colossians 1:16-18,"The song is explicitly Christ-exalting and doxological, emphasizing salvation by grace and the glory of Jesus. It forms worship that re-centers the church on Christ's sufficiency and worthiness.","Keep it joyful but not rushed. This is great for closings or communion. Encourage harmonies if your church knows them, but keep the melody clear for strong congregational singing.","A doxology-style hymn that gives all glory to Christ, reshaping familiar hymn language into a Christ-centered song of praise and surrender. Use the practical leadership notes above for arrangement guidance."
Jesus Thank You,Sovereign Grace Music,E,G,70,4/4,cross; gratitude; gospel; communion,modern; slow,Ephesians 1:7; Colossians 1:13-14; 1 Peter 2:24,The song centers substitutionary grace and the believer's response of thanksgiving. It forms gospel gratitude and works especially well in communion moments where the cross is foregrounded.,Keep it quiet and sincere. Avoid overbuilding so the lyric remains the focus. Perfect for communion or after confession and assurance.,"A simple, tender song of gratitude for the cross, moving the church to thank Jesus for mercy, forgiveness, and adoption. Use the practical leadership notes above for arrangement guidance."
There Is One Gospel,Getty Music,D,F,84,4/4,gospel; unity; cross; resurrection,modern,1 Corinthians 15:3-4; Ephesians 4:4-6; Galatians 1:6-9,"The song is a concise gospel summary that emphasizes Christ's saving work, the unity of the church, and the hope of resurrection. It forms theological clarity and shared confession.","Lead it like a confession of faith. The chorus is the anchor. This fits well in teaching series, baptisms, or communion services where gospel clarity is central.","A modern hymn that clearly proclaims the one true gospel, uniting the church around Christ's life, death, and resurrection. Use the practical leadership notes above for arrangement guidance."
Ancient Of Days,CityAlight,D,F,70,4/4,sovereignty; endurance; hope; kingdom,modern; slow,Daniel 7:13-14; 2 Timothy 4:7-8; Hebrews 12:1-2,"The song emphasizes God's sovereignty and the believer's endurance in Christ, forming steady hope in the midst of suffering. It frames trials within the larger story of God's eternal kingdom.",Keep it measured and singable. This works well in lament-to-hope sets and in seasons where the church needs strength. Encourage the room to sing the chorus with quiet confidence.,A modern hymn of perseverance that anchors the church in God's eternal reign and the hope of Christ through every trial. Use the practical leadership notes above for arrangement guidance.
Speak O Lord,Getty Music,D,F,72,4/4,word_of_god; formation; surrender; prayer,modern; slow,2 Timothy 3:16-17; Hebrews 4:12; Psalm 119:105,"The song centers the authority and transforming power of Scripture, forming disciples who submit to God's Word. It emphasizes sanctification, mission, and obedience flowing from hearing God.",Perfect before a sermon or as a response after teaching. Keep it reverent and clear. Consider using it to transition into Scripture reading as a congregational prayer.,"A prayerful hymn asking God to speak through His Word and shape His people, forming a posture of humility, obedience, and transformation. Use the practical leadership notes above for arrangement guidance."
Come People Of The Risen King,Getty Music,D,F,104,4/4,call_to_worship; resurrection; joy; unity,modern,Psalm 95:1-2; 1 Peter 2:9-10; 1 Corinthians 15:20,"The song is a corporate summons to praise rooted in the resurrection. It forms congregational identity as a redeemed people, united in Christ and gathered to worship with joy and confidence.","Great as an opener. Keep it bright and tight and let the congregation sing. If the melody is new, teach the chorus first and repeat it to lock in participation.","A joyful call to worship inviting the church to sing as the people of the risen King, celebrating resurrection life together. Use the practical leadership notes above for arrangement guidance."
The Lord Our God,Passion,G,Bb,72,4/4,faithfulness; holiness; sovereignty; praise,modern; slow,Psalm 99:1-3; Lamentations 3:22-23; Deuteronomy 7:9,"The song emphasizes God's covenant faithfulness and holiness, shaping worship as reverent trust. It forms confidence in God's steadfast character across generations.","Keep it patient and let the chorus become the main congregational confession. This fits well near the end of a set as a steady, reverent declaration.","A worship song that celebrates God's faithfulness and holiness, inviting the church to stand in awe of the Lord our God. Use the practical leadership notes above for arrangement guidance."
All Hail The Power Of Jesus' Name,Traditional Hymn,D,F,88,4/4,name_of_jesus; kingship; worthy; adoration,modern,Philippians 2:9-11; Revelation 5:12-13; Colossians 1:18,"The hymn magnifies Christ's lordship and worthiness, forming worship as enthronement and adoration. It aligns with the biblical confession that Jesus is Lord and worthy of universal praise.","Choose a tempo that supports strong congregational singing. This works well as a set opener or closer. If using a modern arrangement, keep the melody clear and resist overcomplicating the rhythm.","A triumphant hymn exalting Jesus as King, calling all people to crown Him Lord of all with joyful praise. Use the practical leadership notes above for arrangement guidance."
Before The Throne Of God Above,Traditional Hymn,D,F,72,4/4,atonement; assurance; intercession; gospel,modern; slow,Hebrews 4:14-16; Romans 8:33-34; 1 John 2:1-2,"The hymn emphasizes Christ's priestly intercession and the believer's justification. It forms assurance rooted in Jesus' finished work and ongoing advocacy, shaping faith away from condemnation and toward gospel confidence.","Lead it with reverence and clarity. This is excellent for communion, confession and assurance, and response moments after preaching. Keep the melody strong and singable.","A hymn of assurance celebrating Jesus as our perfect advocate and high priest, giving believers confidence before God through Christ. Use the practical leadership notes above for arrangement guidance."
Jesus Loves Me,Traditional,G,Bb,76,4/4,love_of_god; assurance; children; gospel_simplicity,modern; slow,Romans 8:38-39; 1 John 4:9-10; Mark 10:14-16,"This song forms assurance by centering love as something received from Jesus, not earned. Its simplicity reinforces the gospel posture of childlike trust and belonging in Christ.","Keep it slow and warm. This works beautifully as a reflective moment, family service element, or communion undersong. Consider a simple tag that reinforces belonging without adding complexity.","A simple, enduring confession of Jesus' love that anchors hearts in gospel assurance with language children and adults can sing sincerely. Use the practical leadership notes above for arrangement guidance."
Jesus Loves The Little Children,Traditional,G,Bb,92,4/4,children; welcome; kingdom; love_of_jesus,modern,Mark 10:13-16; Matthew 18:1-5; Psalm 145:9,"The song echoes Jesus' posture toward children and the biblical call to welcome the least and the little. It forms a church culture of hospitality, dignity, and belonging.","Ideal for family Sundays and kids moments. Keep it joyful and simple. If adults are singing too, frame it as a declaration of the church's values, not a throwback novelty.","A classic children's worship song celebrating Jesus' welcome and love, reminding the church that the kingdom belongs to the humble and trusting. Use the practical leadership notes above for arrangement guidance."
O God Beyond All Praising,Traditional,D,F,92,4/4,doxology; adoration; awe; thanksgiving,modern,Psalm 145:1-3; Romans 11:36; Revelation 4:11,"The hymn is doxological, directing praise to God for His glory and goodness. It forms worship that is God-centered and reverent, lifting hearts beyond self-focus into adoration.",Keep the melody strong and the tempo steady for confident congregational singing. Great as a call to worship or a closing hymn. Consider a simple modern arrangement without losing the hymn's weight.,"A robust hymn of praise that magnifies God's majesty and calls the church to worship with awe, gratitude, and wholehearted devotion. Use the practical leadership notes above for arrangement guidance."
And Can It Be,Traditional,D,F,88,4/4,grace; atonement; wonder; salvation,modern,Ephesians 2:4-7; Romans 5:8; Galatians 2:20,"The hymn marvels at grace and the gospel, emphasizing Christ's saving work and the believer's freedom in Him. It forms worship as amazed response to mercy rather than routine religion.",Choose a tempo that supports full-voiced singing without dragging. This is excellent after communion or gospel preaching. Keep instrumentation supportive and let the lyric drive the moment.,"A hymn of astonished gratitude that celebrates the mercy of God and the saving work of Christ with bold, joyful wonder. Use the practical leadership notes above for arrangement guidance."
How Firm A Foundation,Traditional,D,F,84,4/4,faithfulness; security; promises_of_god; endurance,modern,Isaiah 43:1-2; Hebrews 13:5-6; Psalm 46:1-2,The hymn forms resilience by grounding faith in God's Word and covenant promises. It emphasizes God's sustaining presence and faithfulness when life is unstable.,Great for pastoral seasons or teaching on God's promises. Keep it steady and congregational. Consider reading one promise text before singing to frame it as corporate confession.,"A hymn of assurance that anchors believers in the promises of God, declaring steady confidence through trial and suffering. Use the practical leadership notes above for arrangement guidance."
Be Still My Soul,Traditional,D,F,68,4/4,peace; trust; suffering; providence,modern; slow,Psalm 46:10; Philippians 4:6-7; Lamentations 3:25-26,"The hymn forms mature faith by calling believers to quiet their hearts and trust God's wise care. It encourages perseverance and peace rooted in God's faithfulness, not circumstances.","Lead it gently and do not rush. This is powerful in pastoral settings, funerals, or prayer nights. Keep the arrangement minimal so the lyric can minister.","A hymn of calm trust that teaches the soul to rest in God's providence, especially in grief, uncertainty, and suffering. Use the practical leadership notes above for arrangement guidance."
The Solid Rock,Traditional,D,F,88,4/4,assurance; jesus; hope; foundation,modern,Matthew 7:24-25; 1 Corinthians 3:11; Hebrews 6:19,The hymn forms assurance by locating security in Christ rather than shifting circumstances. It emphasizes steadfast faith and hope grounded in Jesus as the only reliable foundation.,"Keep it steady and bold. This works well after messages on faith, storms, or assurance. Encourage the congregation to sing the refrain strongly as a shared confession.","A classic hymn declaring Christ as the sure foundation, strengthening believers with confidence that their hope is anchored in Jesus alone. Use the practical leadership notes above for arrangement guidance."
His Eye Is On The Sparrow,Traditional,G,Bb,72,4/4,providence; comfort; peace; trust,modern; slow,Matthew 10:29-31; Psalm 56:3-4; 1 Peter 5:7,The hymn forms assurance by pointing to God's care for creation and His personal concern for His children. It strengthens faith in God's nearness and compassionate oversight.,"Lead it tenderly and avoid over-singing. This works well in pastoral moments, grief settings, or ministry time. Keep accompaniment simple so the lyric carries comfort.","A comforting hymn that reminds believers of God's attentive care, encouraging trust in His providence and love. Use the practical leadership notes above for arrangement guidance."
Tis So Sweet To Trust In Jesus,Traditional,D,F,74,4/4,trust; peace; faith; assurance,modern; slow,Proverbs 3:5-6; Isaiah 26:3; John 14:1,"The hymn forms faith through repeated trust, emphasizing that confidence grows as we rely on Jesus' Word and grace. It is discipleship through habit, training the heart toward quiet dependence.",Keep it unhurried and warm. This works well as a reflective set piece or response after prayer. Consider a simple modern arrangement but keep the melody very clear.,"A gentle hymn that teaches simple trust in Jesus, forming steady confidence and peace through reliance on His character and promises. Use the practical leadership notes above for arrangement guidance."
I Need Thee Every Hour,Traditional,C,Eb,72,4/4,dependence; prayer; need; grace,modern; slow,John 15:5; 2 Corinthians 12:9; Psalm 73:26,"The hymn forms humility by naming ongoing dependence as normal Christian life. It encourages prayerful reliance and reinforces that strength is found in God's presence, not self-sufficiency.","Lead it simply and let the congregation sing the refrain as a repeated prayer. Excellent for prayer nights, confession moments, or altar ministry. Keep dynamics restrained.","A hymn-prayer of dependence that confesses our constant need for God's help, presence, and sustaining grace. Use the practical leadership notes above for arrangement guidance."
Guide Me O Thou Great Jehovah,Traditional,D,F,92,4/4,guidance; pilgrimage; providence; faithfulness,modern,Exodus 13:21-22; Psalm 23:1-3; Hebrews 3:7-11,The hymn frames life as a journey where God provides and guides. It forms confidence in God's sustaining grace and recalls His faithfulness to His people in every season.,"Keep it strong and steady with clear phrasing. This works well for formation services and seasons of transition. If using a modern arrangement, preserve the hymn's corporate strength.","A pilgrimage hymn that asks God to lead and sustain His people, drawing on wilderness imagery to strengthen trust and endurance. Use the practical leadership notes above for arrangement guidance."
It Is Well,Kristene DiMarco & Bethel Music,D,F,72,4/4,peace; trust; suffering; surrender,modern; slow,Philippians 4:6-7; Isaiah 26:3; John 16:33,"The song forms resilient faith by anchoring peace in God's presence and the believer's surrender. It holds suffering with hope, teaching the church to confess trust without denying pain.","Keep it patient and prayerful. This works best when the room is invited to breathe and confess, not rush. If you extend, stay anchored to the main lyric so the congregation remains present.","A modern worship setting that carries the historic confession of peace in Christ, helping the church sing trust and surrender in hardship. Use the practical leadership notes above for arrangement guidance."
Shout To The North,Hillsong Worship,G,Bb,124,4/4,joy; gospel_invitation; praise; encouragement,modern; upbeat,Isaiah 35:3-4; Psalm 96:1-3; Matthew 11:28-30,"The song blends praise with invitation, forming outward-facing worship that calls people toward hope in Christ. It strengthens congregational courage and joy rooted in the gospel.",Lead it with bright confidence and a steady tempo. Great for openers and celebration moments. Keep the chorus big and singable so the room carries the momentum.,"A joyful anthem that encourages the church to lift praise and proclaim hope, inviting the weary and broken to look to Jesus. Use the practical leadership notes above for arrangement guidance."
Lord I Give You My Heart,Hillsong Worship,E,G,72,4/4,surrender; devotion; prayer; worship_response,modern; slow,Romans 12:1; Mark 12:30; Psalm 139:23-24,"The song forms worship as self-offering and devotion, aligning with the biblical call to love God wholeheartedly. It invites the congregation to respond with obedience and affection toward God.",Keep it simple and sincere. This works well as a response after preaching or prayer. Avoid excessive vocal runs so the room can sing the prayer together.,"A classic worship prayer of surrender, offering the heart to God with simple language and a clear congregational melody. Use the practical leadership notes above for arrangement guidance."
Jesus Lover Of My Soul,Hillsong Worship,E,G,70,4/4,intimacy; refuge; devotion; trust,modern; slow,Psalm 18:2; Psalm 46:1; John 15:9,"The song forms relational trust in Christ, emphasizing Jesus as refuge and the One who holds us steady. It invites surrender and devotion rooted in God's love and protection.",Lead it tenderly and keep the arrangement minimal. This fits well in nights of worship and prayer. Let the congregation sing the chorus fully without rushing into the next section.,"A worship song of intimacy and refuge, expressing the believer's dependence on Jesus as shelter, strength, and closest companion. Use the practical leadership notes above for arrangement guidance."
The Power Of Your Love,Geoff Bullock,E,G,72,4/4,surrender; formation; prayer; holiness,modern; slow,Romans 12:1-2; Psalm 143:10; 2 Corinthians 3:18,"The song forms discipleship through prayer, emphasizing growth, surrender, and being led by the Spirit. It aligns worship with transformation, not merely emotion.",Keep it reflective and not overly loud. This works well in response moments where you want quiet surrender. Support the melody and keep dynamics steady so the room can sing.,"A worship song that invites personal transformation, asking God to shape the heart and lead believers into deeper surrender and holiness. Use the practical leadership notes above for arrangement guidance."
Days Of Elijah,Robin Mark,G,Bb,132,4/4,praise; hope; kingdom; declaration,modern; upbeat,Revelation 1:7-8; Isaiah 52:7; Psalm 96:1-3,"The song emphasizes God's ongoing work through history and the hope of Christ's reign. It forms expectancy and praise, connecting biblical storylines with present worship.",Keep the tempo consistent and the chorus very singable. This is best as an opener or celebration lift. Avoid dragging the tag so it stays joyful instead of repetitive.,An energetic declaration song that celebrates God's faithfulness and points to the coming reign of Christ with joyful expectation. Use the practical leadership notes above for arrangement guidance.
A New Hallelujah,Michael W. Smith,G,Bb,124,4/4,praise; revival; joy; declaration,modern; upbeat,Psalm 96:1-2; Psalm 150:1-6; Revelation 19:6,"The song forms worship as renewed praise, encouraging the church to respond to God with fresh gratitude and declaration. It emphasizes that God is worthy of continual, wholehearted praise.",Keep it driving and congregational. This works well as a high-energy opener or celebration song. Limit extra tags so the room stays engaged and not fatigued.,"A praise anthem calling the church to lift fresh hallelujahs, celebrating God's greatness with energetic, corporate joy. Use the practical leadership notes above for arrangement guidance."
Resurrecting,Elevation Worship,B,D,74,4/4,resurrection; hope; victory; gospel,modern; slow,Romans 8:11; 1 Corinthians 15:20-22; John 11:25-26,"The song centers the resurrection as present power and future hope, forming confidence that the same God who raised Jesus brings life to His people. It proclaims the gospel with worshipful awe.","Build slowly and keep the chorus clear. This works well as a set peak, especially around Easter, baptisms, or testimony moments. Avoid rushing the final section so the congregation can sing strongly.",A resurrection anthem declaring Jesus' victory over death and the living hope believers have through His resurrection power. Use the practical leadership notes above for arrangement guidance.
Abide With Me,Traditional,D,F,66,4/4,presence_of_god; suffering; comfort; perseverance,modern; slow,Luke 24:29; Psalm 23:4; Hebrews 13:5-6,"The hymn forms dependence and perseverance, emphasizing God's nearness as the believer's comfort. It aligns with biblical themes of God's abiding presence and faithful help in trouble.","Lead it slowly with warmth and simplicity. This is powerful in pastoral settings, funerals, and prayer nights. Keep the arrangement minimal and let the lyric minister.","A tender hymn-prayer asking God to remain near, offering comfort and steady hope in weakness, sorrow, and the closing of day. Use the practical leadership notes above for arrangement guidance."
Bless God,Brooks & Dunn,G,Bb,96,4/4,gratitude; praise; testimony; faithfulness,modern,Psalm 103:1-5; 1 Thessalonians 5:16-18; Psalm 34:1,"The song forms worship as thanksgiving and testimony, emphasizing God's consistent goodness and the believer's response of praise. It encourages resilient praise that does not depend on circumstances.","Keep it bright and congregational. This works well as an opener or early-set lift. Use simple phrasing so the room can sing quickly, and keep the tag short to avoid fatigue.","A gratitude-forward praise song that calls believers to bless God in every season, naming His faithfulness as the reason we worship. Use the practical leadership notes above for arrangement guidance."
Abandoned,Benny Hester,E,G,98,4/4,surrender; devotion; worship; joy,modern,Romans 12:1; Mark 12:30; Psalm 84:10,"The song forms worship as total surrender and embodied devotion, aligning with the biblical call to offer ourselves fully to God. It invites a posture of freedom and wholehearted praise.","Great for energetic sets that move into surrender. Keep the groove tight and the lyrics clear. If your room is unfamiliar, teach the chorus first and keep arrangement simple.",A wholehearted surrender song that calls believers to abandon themselves to God in joyful worship and complete devotion. Use the practical leadership notes above for arrangement guidance.
Love of God,MercyMe,G,Bb,72,4/4,love_of_god; grace; assurance; gospel,modern; slow,Romans 5:8; 1 John 4:9-10; Romans 8:38-39,The song forms assurance by centering God's love as the source of salvation and security. It encourages worship that flows from received grace rather than performance or striving.,Lead it gently and keep dynamics supportive. This works well as a response after preaching on grace or during prayer. Keep the melody prominent for congregational singing.,"A worshipful reflection on the steadfast love of God, giving language for assurance and gratitude rooted in grace. Use the practical leadership notes above for arrangement guidance."
Trust And Obey,Traditional Hymn,D,F,88,4/4,obedience; discipleship; trust; faithfulness,modern,John 14:15; James 1:22; Proverbs 3:5-6,"The hymn emphasizes faith expressed through obedience, shaping a life of daily trust and submission to God's will. It reinforces that discipleship is not merely belief but lived surrender.",Keep it steady and singable. This works well in teaching series on discipleship or formation. Consider a simple modern arrangement while preserving the hymn's clear melody.,"A hymn that calls believers to simple, steady discipleship, forming obedience and trust as the pathway of walking with Jesus. Use the practical leadership notes above for arrangement guidance."
So So Good,Maverick City Music,G,Bb,74,4/4,goodness_of_god; gratitude; testimony; praise,modern; slow,Psalm 34:8; Psalm 145:9; Nahum 1:7,"The song forms worship as gratitude rooted in God's faithful character. It encourages testimony praise, reminding believers to name God's goodness in every season.","Keep it simple and congregational. Use restrained dynamics so the room can sing. If the arrangement has long vamps, shorten them unless the congregation is fully engaged.","A worship song celebrating God's goodness with warm, testimony-driven language that invites the church into grateful praise. Use the practical leadership notes above for arrangement guidance."
